From: reid@decwrl.DEC.COM (Brian Reid)
Subject: USENET Readership report for Mar 95
Date: 1 Apr 1995 07:52:15 -0800
Organization: DEC Network Systems Laboratory
Message-ID: <LOC.3ljsrf$aeb@usenet.pa.dec.com>

This is the full set of data from the USENET readership report for Mar 95.
Explanations of the figures are in a companion posting.

        +-- Estimated total number of people who read the group, worldwide.
        |     +-- Actual number of readers in sampled population
        |     |     +-- Propagation: how many sites receive this group at all
        |     |     |      +-- Recent traffic (messages per month)
        |     |     |      |      +-- Recent traffic (megabytes per month)
        |     |     |      |      |      +-- Crossposting percentage
        |     |     |      |      |      |    +-- Cost ratio: $US/month/rdr
        |     |     |      |      |      |    |      +-- Share: % of newsrders
        |     |     |      |      |      |    |      |   who read this group.
        V     V     V      V      V      V    V      V
   11000000  4260   91%    50     0.8    21%  0.00   6.8%  news.announce.newusers 
   2 510000  3431   57%  8464    10.7    26%  0.01   5.5%  alt.sex 
   3 440000  2075   82%    57     0.1     0%  0.00   3.3%  rec.humor.funny 
   4 430000  1875   88%  2266     0.6    99%  0.00   3.0%  news.answers 
   5 380000  1642   88%     3     0.0    67%  0.00   2.6%  news.announce.important 
   6 360000  1563   87%  4757     6.0     3%  0.02   2.5%  news.newusers.questions 
   7 330000  1555   81% 23553    33.6    28%  0.09   2.5%  misc.jobs.offered 
   8 310000  1398   84%  1820     3.0    21%  0.01   2.2%  comp.unix.questions 
   9 300000  1368   84%  4698     7.0    15%  0.02   2.2%  comp.lang.c 
  10 280000  2163   49% 15864   761.2    13%  1.50   3.5%  alt.binaries.pictures.erotica 
  11 280000  1375   79%  4868    14.1    10%  0.04   2.2%  rec.humor 
  12 270000  2041   51%  5345    38.5     8%  0.08   3.3%  alt.sex.stories 
  13 250000  1080   87%  5881     9.3    25%  0.04   1.7%  news.groups 
  14 250000  1077   88%    55     2.4     0%  0.01   1.7%  news.lists 
  15 230000  1505   59%  5047     6.9     3%  0.02   2.4%  alt.tv.simpsons 
  16 230000  1215   74%    92     0.3    22%  0.00   1.9%  rec.arts.movies.reviews 
  17 230000  1210   72%  8127    11.0    21%  0.04   1.9%  rec.arts.startrek.current 
  18 220000  1277   65%  1522     2.5    18%  0.01   2.0%  alt.bbs 
  19 220000  1004   83%  6025     8.0    22%  0.03   1.6%  comp.lang.c++ 
  20 220000   989   83%   863     1.9     0%  0.01   1.6%  comp.dcom.telecom 
  21 220000   946   89%   214     1.9    11%  0.01   1.5%  news.announce.newgroups 
  22 210000  1438   54%  4415    10.3    11%  0.03   2.3%  alt.sex.bondage 
  23 210000  1079   74%    52     0.2     2%  0.00   1.7%  rec.arts.startrek.info 
  24 210000   957   83%    15     0.5     0%  0.00   1.5%  comp.risks 
  25 200000  1742   44%  6988   156.3     4%  0.38   2.8%  alt.binaries.pictures.supermodels 
  26 190000  1006   71%  3440     4.5    47%  0.02   1.6%  rec.arts.startrek.misc 
  27 190000   982   73%  4748    10.7     4%  0.04   1.6%  rec.sport.baseball 
  28 180000  1030   65%     3     0.0    67%  0.00   1.6%  rec.arts.erotica 
  29 180000   956   71%  3181     5.3     2%  0.02   1.5%  rec.nude 
  30 180000   915   75%  2308     3.9    10%  0.02   1.5%  rec.radio.amateur.misc 
  31 180000   913   75% 11323    19.0     7%  0.09   1.5%  rec.arts.movies 
  32 180000   902   76%  1707     2.1    13%  0.01   1.4%  rec.video 
  33 180000   897   77%    35     1.7     0%  0.01   1.4%  comp.binaries.ibm.pc 
  34 180000   855   78% 11551    15.8    28%  0.08   1.4%  misc.jobs.contract 
  35 180000   851   80%     -       -      -     -   1.4%  misc.jobs.miscmisc.books.technical 
